year,month,day,doc,bay,region,latitude,longitude,TL_mm
2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,77
2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.228,-160.5598,40
2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,51
2018,Aug,1,213,Baralof Bay,Shumagin Islands,55.2293,-160.5623,32
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,63
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,63
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,74
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1093,-156.4602,64
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1093,-156.4602,65
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1093,-156.4602,66
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1048,-156.4586,55
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1048,-156.4586,69
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1048,-156.4586,52
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,68
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,61
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,57
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,56
2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,62
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.0708,-153.6749,61
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.0708,-153.6749,45
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.0708,-153.6749,59
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.057,-153.7047,42
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.057,-153.7047,48
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.057,-153.7047,55
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.0708,-153.6749,55
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.0708,-153.6749,58
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.0708,-153.6749,57
2018,July,9,190,Kaiugnak Bay,Kaiugnak Bay,57.0708,-153.6749,56
2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,34
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,64
2018,July,16,197,Agripina Bay,Agripina Bay,57.1047,-156.4584,71
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,57
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,43
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,74
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,52
2018,July,16,197,Agripina Bay,Agripina Bay,57.1047,-156.4584,65
2018,July,16,197,Agripina Bay,Agripina Bay,57.1047,-156.4584,44
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,43
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,68
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,56
2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,53
2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,44
2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,45
2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,50
2018,July,26,207,Sand Point,Shumagin Islands,55.2535,-160.5241,53
2018,July,26,207,Sand Point,Shumagin Islands,55.2535,-160.5241,56
2018,July,26,207,Sand Point,Shumagin Islands,55.3204,-160.5207,69
2018,July,26,207,Sand Point,Shumagin Islands,55.3204,-160.5207,55
2018,July,26,207,Sand Point,Shumagin Islands,55.2535,-160.5241,57
2018,July,26,207,Sand Point,Shumagin Islands,55.2535,-160.5241,64
2018,July,26,207,Sand Point,Shumagin Islands,55.3204,-160.5207,57
2018,July,29,210,Falmouth Bay,Shumagin Islands,55.0669,-160.1267,36
2018,July,30,211,Falmouth Bay,Shumagin Islands,55.0669,-160.1267,75
2018,July,30,211,Falmouth Bay,Shumagin Islands,55.0684,-160.1125,58
2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,54
2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,49
2019,July,7,188,Agripina Bay,Agripina Bay,57.1071,-156.4564,44
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0535,-153.6528,65
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0535,-153.6528,75
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0535,-153.6528,60
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0535,-153.6528,59
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0535,-153.6528,63
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0571,-153.7032,77
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0571,-153.7032,79
2019,Aug,7,219,Kaiugnak Bay,Kaiugnak Bay,57.0571,-153.7032,75
2019,July,21,202,Sand Point,Shumagin Islands,55.3201,-160.5241,56
2019,July,21,202,Sand Point,Shumagin Islands,55.3201,-160.5241,58
2019,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4716,60
2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,52
2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,63
