year,ID,TL_mm,doc,final.age,bay
2007,745,53,202,118,Anton Larsen Bay
2007,746,50,202,99,Anton Larsen Bay
2007,747,52,202,98,Anton Larsen Bay
2007,748,48,202,109,Anton Larsen Bay
2007,750,51,202,98,Anton Larsen Bay
2007,751,43,202,88,Anton Larsen Bay
2007,752,52,202,111,Anton Larsen Bay
2007,753,47,202,100,Anton Larsen Bay
2007,756,47,202,106,Anton Larsen Bay
2007,757,50,202,96,Anton Larsen Bay
2007,758,48,202,104,Anton Larsen Bay
2007,759,45,202,82,Anton Larsen Bay
2007,760,44,202,88,Anton Larsen Bay
2007,761,48,202,96,Anton Larsen Bay
2007,762,44,202,93,Anton Larsen Bay
2007,763,43,202,88,Anton Larsen Bay
2007,764,43,202,91,Anton Larsen Bay
2007,765,44,202,82,Anton Larsen Bay
2007,766,51,202,111,Anton Larsen Bay
2007,767,43,202,96,Anton Larsen Bay
2007,768,49,202,97,Anton Larsen Bay
2007,769,49,202,108,Anton Larsen Bay
2007,770,45,202,101,Anton Larsen Bay
2007,771,52,202,108,Anton Larsen Bay
2007,772,48,202,99,Anton Larsen Bay
2007,773,48,202,94,Anton Larsen Bay
2007,774,44,202,94,Anton Larsen Bay
2007,775,47,202,101,Anton Larsen Bay
2007,749,49,202,101,Anton Larsen Bay
2007,754,49,202,101,Anton Larsen Bay
2007,755,49,202,101,Anton Larsen Bay
2009,54,47,187,95,Cook Bay
2009,55,45,187,92,Cook Bay
2009,56,43,187,89,Cook Bay
2009,57,49,187,94,Cook Bay
2009,58,47,187,107,Cook Bay
2009,59,45,187,102,Cook Bay
2009,60,47,187,94,Cook Bay
2009,61,40,187,82,Cook Bay
2009,62,45,208,95,Cook Bay
2009,63,43,187,84,Cook Bay
2009,64,43,187,85,Cook Bay
2009,65,49,187,90,Cook Bay
2009,66,42,187,92,Cook Bay
2009,67,45,187,88,Cook Bay
2009,68,44,187,91,Cook Bay
2009,69,36,187,89,Cook Bay
2009,70,44,187,84,Cook Bay
2009,71,44,187,91,Cook Bay
2009,72,42,187,88,Cook Bay
2009,73,43,187,93,Cook Bay
2009,74,35,187,80,Cook Bay
2009,75,49,187,97,Cook Bay
2009,76,42,187,95,Cook Bay
2009,77,44,202,95,Cook Bay
2009,208,31,200,73,Cook Bay
2009,209,42,200,88,Cook Bay
2009,210,47,200,94,Cook Bay
2009,211,35,200,78,Cook Bay
2009,212,38,200,82,Cook Bay
2009,213,43,200,89,Cook Bay
2009,214,48,200,95,Cook Bay
2009,215,44,200,91,Cook Bay
2009,216,43,200,89,Cook Bay
2009,217,38,200,82,Cook Bay
2009,218,42,201,88,Cook Bay
2009,219,48,201,95,Cook Bay
2009,220,36,201,79,Cook Bay
2009,221,36,201,79,Cook Bay
2009,222,39,201,84,Cook Bay
2009,223,42,198,88,Cook Bay
2009,224,42,198,88,Cook Bay
2009,225,35,198,78,Cook Bay
2009,226,38,198,82,Cook Bay
2009,227,42,198,88,Cook Bay
2009,228,40,198,85,Cook Bay
2009,229,38,198,82,Cook Bay
2009,230,35,198,78,Cook Bay
2009,231,33,198,75,Cook Bay
2009,232,39,198,84,Cook Bay
2009,233,37,198,81,Cook Bay
2009,234,47,198,94,Cook Bay
2009,235,42,198,88,Cook Bay
2009,236,37,195,80,Anton Larsen Bay
2009,237,36,195,76,Anton Larsen Bay
2009,238,34,195,78,Anton Larsen Bay
2009,239,43,195,88,Anton Larsen Bay
2009,240,51,195,113,Anton Larsen Bay
2009,241,44,195,91,Anton Larsen Bay
2009,242,44,195,82,Anton Larsen Bay
2009,243,43,195,81,Anton Larsen Bay
2009,244,45,195,85,Anton Larsen Bay
2009,245,43,195,87,Anton Larsen Bay
2009,246,48,195,93,Anton Larsen Bay
2009,247,42,195,87,Anton Larsen Bay
2009,248,42,195,82,Anton Larsen Bay
2009,249,39,195,84,Anton Larsen Bay
2009,250,39,195,85,Anton Larsen Bay
2010,831,52,201,117,Cook Bay
2010,832,52,201,91,Cook Bay
2010,833,51,201,113,Cook Bay
2010,838,52,201,84,Cook Bay
2010,839,49,201,83,Cook Bay
2010,840,49,201,120,Cook Bay
2010,841,56,201,95,Cook Bay
2010,843,49,201,91,Cook Bay
2010,844,48,201,100,Cook Bay
2010,847,47,201,96,Cook Bay
2010,848,48,201,86,Cook Bay
2010,852,45,201,94,Cook Bay
2010,854,44,201,92,Cook Bay
2010,855,39,201,78,Cook Bay
2010,861,41,201,72,Cook Bay
2010,864,53,201,110,Cook Bay
2010,868,47,201,101,Cook Bay
2010,869,48,201,100,Cook Bay
2010,871,50,201,98,Cook Bay
2010,872,50,201,97,Cook Bay
2010,873,51,201,85,Cook Bay
2010,876,56,201,125,Cook Bay
2010,879,54,201,118,Cook Bay
2010,776,56,201,112,Cook Bay
2010,777,56,201,112,Cook Bay
2010,778,57,201,114,Cook Bay
2010,779,54,201,108,Cook Bay
2010,780,54,201,108,Cook Bay
2010,781,52,201,103,Cook Bay
2010,782,53,201,105,Cook Bay
2010,783,52,201,103,Cook Bay
2010,784,50,201,99,Cook Bay
2010,785,54,201,108,Cook Bay
2010,786,52,201,103,Cook Bay
2010,787,54,201,108,Cook Bay
2010,788,50,201,99,Cook Bay
2010,789,43,201,86,Cook Bay
2010,790,47,201,93,Cook Bay
2010,791,56,201,112,Cook Bay
2010,792,49,201,97,Cook Bay
2010,793,52,201,103,Cook Bay
2010,794,52,201,103,Cook Bay
2010,795,50,201,99,Cook Bay
2010,796,51,201,101,Cook Bay
2010,797,49,201,97,Cook Bay
2010,798,49,201,97,Cook Bay
2010,799,48,201,95,Cook Bay
2010,800,63,201,124,Cook Bay
2010,801,52,201,103,Cook Bay
2010,802,49,201,97,Cook Bay
2010,803,45,201,91,Cook Bay
2010,804,43,201,86,Cook Bay
2010,805,47,201,93,Cook Bay
2010,806,41,201,82,Cook Bay
2010,807,51,201,101,Cook Bay
2010,808,45,201,91,Cook Bay
2010,809,52,201,103,Cook Bay
2010,810,54,201,108,Cook Bay
2010,811,52,201,103,Cook Bay
2010,812,52,201,103,Cook Bay
2010,813,52,201,103,Cook Bay
2010,814,57,201,114,Cook Bay
2010,815,47,201,93,Cook Bay
2010,816,58,201,116,Cook Bay
2010,817,54,201,108,Cook Bay
2010,818,48,202,95,Cook Bay
2010,819,54,203,108,Cook Bay
2010,820,54,196,108,Cook Bay
2010,821,35,196,69,Cook Bay
2010,822,41,196,82,Cook Bay
2010,823,33,196,65,Cook Bay
2010,824,33,196,65,Cook Bay
2010,825,36,196,71,Cook Bay
2010,826,37,196,74,Cook Bay
2010,827,40,196,80,Cook Bay
2010,828,45,196,91,Cook Bay
2010,829,44,196,88,Cook Bay
2010,830,56,201,112,Cook Bay
2010,834,58,201,116,Cook Bay
2010,835,52,201,103,Cook Bay
2010,836,50,201,99,Cook Bay
2010,837,50,201,99,Cook Bay
2010,842,53,201,105,Cook Bay
2010,845,48,201,95,Cook Bay
2010,846,48,201,95,Cook Bay
2010,849,49,201,97,Cook Bay
2010,850,43,201,86,Cook Bay
2010,851,44,201,88,Cook Bay
2010,853,44,201,88,Cook Bay
2010,856,47,201,93,Cook Bay
2010,857,47,201,93,Cook Bay
2010,858,44,201,88,Cook Bay
2010,859,43,201,86,Cook Bay
2010,860,44,201,88,Cook Bay
2010,862,35,201,69,Cook Bay
2010,863,35,201,69,Cook Bay
2010,865,59,201,118,Cook Bay
2010,866,48,201,95,Cook Bay
2010,867,43,201,86,Cook Bay
2010,870,45,201,91,Cook Bay
2010,874,53,201,105,Cook Bay
2010,875,54,201,108,Cook Bay
2010,877,54,201,108,Cook Bay
2010,878,54,201,108,Cook Bay
2012,971,40,196,108,Anton Larsen Bay
2012,972,48,196,106,Anton Larsen Bay
2012,973,43,196,99,Anton Larsen Bay
2012,974,47,196,101,Anton Larsen Bay
2012,975,37,196,90,Anton Larsen Bay
2012,976,42,196,101,Anton Larsen Bay
