avg.22.temp,doy,month.day,depth,HW,dummy_date
7.294024621,1,1-Jan,GAK1 50 to 115 m,Adjacent,1/1/2000
7.265685488,2,2-Jan,GAK1 50 to 115 m,Adjacent,1/2/2000
7.232698272,3,3-Jan,GAK1 50 to 115 m,Adjacent,1/3/2000
7.204887074,4,4-Jan,GAK1 50 to 115 m,Adjacent,1/4/2000
7.167571023,5,5-Jan,GAK1 50 to 115 m,Adjacent,1/5/2000
7.125899858,6,6-Jan,GAK1 50 to 115 m,Adjacent,1/6/2000
7.08408428,7,7-Jan,GAK1 50 to 115 m,Adjacent,1/7/2000
7.037855232,8,8-Jan,GAK1 50 to 115 m,Adjacent,1/8/2000
6.98925071,9,9-Jan,GAK1 50 to 115 m,Adjacent,1/9/2000
6.940289181,10,10-Jan,GAK1 50 to 115 m,Adjacent,1/10/2000
6.890734612,11,11-Jan,GAK1 50 to 115 m,Adjacent,1/11/2000
6.834940814,12,12-Jan,GAK1 50 to 115 m,Adjacent,1/12/2000
6.771987453,13,13-Jan,GAK1 50 to 115 m,Adjacent,1/13/2000
6.705027344,14,14-Jan,GAK1 50 to 115 m,Adjacent,1/14/2000
6.63707706,15,15-Jan,GAK1 50 to 115 m,Adjacent,1/15/2000
6.573629972,16,16-Jan,GAK1 50 to 115 m,Adjacent,1/16/2000
6.509663116,17,17-Jan,GAK1 50 to 115 m,Adjacent,1/17/2000
6.449157789,18,18-Jan,GAK1 50 to 115 m,Adjacent,1/18/2000
6.413783381,19,19-Jan,GAK1 50 to 115 m,Adjacent,1/19/2000
6.377786103,20,20-Jan,GAK1 50 to 115 m,Adjacent,1/20/2000
6.338358428,21,21-Jan,GAK1 50 to 115 m,Adjacent,1/21/2000
6.287058239,22,22-Jan,GAK1 50 to 115 m,Adjacent,1/22/2000
6.243330019,23,23-Jan,GAK1 50 to 115 m,Adjacent,1/23/2000
6.185798532,24,24-Jan,GAK1 50 to 115 m,Adjacent,1/24/2000
6.121545336,25,25-Jan,GAK1 50 to 115 m,Adjacent,1/25/2000
6.048699811,26,26-Jan,GAK1 50 to 115 m,Adjacent,1/26/2000
5.969100971,27,27-Jan,GAK1 50 to 115 m,Adjacent,1/27/2000
5.903714134,28,28-Jan,GAK1 50 to 115 m,Adjacent,1/28/2000
5.841549479,29,29-Jan,GAK1 50 to 115 m,Adjacent,1/29/2000
5.78978196,30,30-Jan,GAK1 50 to 115 m,Adjacent,1/30/2000
5.742131392,31,31-Jan,GAK1 50 to 115 m,Adjacent,1/31/2000
8.866163116,335,1-Dec,GAK1 50 to 115 m,Adjacent,11/30/2000
8.841649148,336,2-Dec,GAK1 50 to 115 m,Adjacent,12/1/2000
8.814258759,337,3-Dec,GAK1 50 to 115 m,Adjacent,12/2/2000
8.790665601,338,4-Dec,GAK1 50 to 115 m,Adjacent,12/3/2000
8.754596354,339,5-Dec,GAK1 50 to 115 m,Adjacent,12/4/2000
8.711577888,340,6-Dec,GAK1 50 to 115 m,Adjacent,12/5/2000
8.681465436,341,7-Dec,GAK1 50 to 115 m,Adjacent,12/6/2000
8.646968513,342,8-Dec,GAK1 50 to 115 m,Adjacent,12/7/2000
8.595088778,343,9-Dec,GAK1 50 to 115 m,Adjacent,12/8/2000
8.543602983,344,10-Dec,GAK1 50 to 115 m,Adjacent,12/9/2000
8.487096828,345,11-Dec,GAK1 50 to 115 m,Adjacent,12/10/2000
8.428873224,346,12-Dec,GAK1 50 to 115 m,Adjacent,12/11/2000
8.373263139,347,13-Dec,GAK1 50 to 115 m,Adjacent,12/12/2000
8.323468513,348,14-Dec,GAK1 50 to 115 m,Adjacent,12/13/2000
8.276453243,349,15-Dec,GAK1 50 to 115 m,Adjacent,12/14/2000
8.24530232,350,16-Dec,GAK1 50 to 115 m,Adjacent,12/15/2000
8.204082505,351,17-Dec,GAK1 50 to 115 m,Adjacent,12/16/2000
8.176405895,352,18-Dec,GAK1 50 to 115 m,Adjacent,12/17/2000
8.127605232,353,19-Dec,GAK1 50 to 115 m,Adjacent,12/18/2000
8.076649976,354,20-Dec,GAK1 50 to 115 m,Adjacent,12/19/2000
8.032191051,355,21-Dec,GAK1 50 to 115 m,Adjacent,12/20/2000
7.986417732,356,22-Dec,GAK1 50 to 115 m,Adjacent,12/21/2000
7.93168241,357,23-Dec,GAK1 50 to 115 m,Adjacent,12/22/2000
7.876816525,358,24-Dec,GAK1 50 to 115 m,Adjacent,12/23/2000
7.811033736,359,25-Dec,GAK1 50 to 115 m,Adjacent,12/24/2000
7.756247514,360,26-Dec,GAK1 50 to 115 m,Adjacent,12/25/2000
7.715538707,361,27-Dec,GAK1 50 to 115 m,Adjacent,12/26/2000
7.67568383,362,28-Dec,GAK1 50 to 115 m,Adjacent,12/27/2000
7.632671993,363,29-Dec,GAK1 50 to 115 m,Adjacent,12/28/2000
7.593987453,364,30-Dec,GAK1 50 to 115 m,Adjacent,12/29/2000
7.575540838,365,31-Dec,GAK1 50 to 115 m,Adjacent,12/30/2000
5.653790009,32,1-Feb,GAK1 50 to 115 m,Adjacent,2/1/2000
5.593706913,33,2-Feb,GAK1 50 to 115 m,Adjacent,2/2/2000
5.525159801,34,3-Feb,GAK1 50 to 115 m,Adjacent,2/3/2000
5.459935843,35,4-Feb,GAK1 50 to 115 m,Adjacent,2/4/2000
5.41407706,36,5-Feb,GAK1 50 to 115 m,Adjacent,2/5/2000
5.370336411,37,6-Feb,GAK1 50 to 115 m,Adjacent,2/6/2000
5.340104877,38,7-Feb,GAK1 50 to 115 m,Adjacent,2/7/2000
5.306177557,39,8-Feb,GAK1 50 to 115 m,Adjacent,2/8/2000
5.257322136,40,9-Feb,GAK1 50 to 115 m,Adjacent,2/9/2000
5.218354915,41,10-Feb,GAK1 50 to 115 m,Adjacent,2/10/2000
5.184568247,42,11-Feb,GAK1 50 to 115 m,Adjacent,2/11/2000
5.155755747,43,12-Feb,GAK1 50 to 115 m,Adjacent,2/12/2000
5.118306291,44,13-Feb,GAK1 50 to 115 m,Adjacent,2/13/2000
5.094235742,45,14-Feb,GAK1 50 to 115 m,Adjacent,2/14/2000
5.081423124,46,15-Feb,GAK1 50 to 115 m,Adjacent,2/15/2000
5.075530131,47,16-Feb,GAK1 50 to 115 m,Adjacent,2/16/2000
5.07496266,48,17-Feb,GAK1 50 to 115 m,Adjacent,2/17/2000
5.076471301,49,18-Feb,GAK1 50 to 115 m,Adjacent,2/18/2000
5.070111807,50,19-Feb,GAK1 50 to 115 m,Adjacent,2/19/2000
5.060238228,51,20-Feb,GAK1 50 to 115 m,Adjacent,2/20/2000
5.047902409,52,21-Feb,GAK1 50 to 115 m,Adjacent,2/21/2000
5.039709464,53,22-Feb,GAK1 50 to 115 m,Adjacent,2/22/2000
5.038042442,54,23-Feb,GAK1 50 to 115 m,Adjacent,2/23/2000
5.035774331,55,24-Feb,GAK1 50 to 115 m,Adjacent,2/24/2000
5.041324639,56,25-Feb,GAK1 50 to 115 m,Adjacent,2/25/2000
5.043090974,57,26-Feb,GAK1 50 to 115 m,Adjacent,2/26/2000
5.04222497,58,27-Feb,GAK1 50 to 115 m,Adjacent,2/27/2000
5.04337471,59,28-Feb,GAK1 50 to 115 m,Adjacent,2/28/2000
5.033820076,60,1-Mar,GAK1 50 to 115 m,Adjacent,2/29/2000
5.015968816,61,2-Mar,GAK1 50 to 115 m,Adjacent,3/1/2000
5.000652513,62,3-Mar,GAK1 50 to 115 m,Adjacent,3/2/2000
4.987568341,63,4-Mar,GAK1 50 to 115 m,Adjacent,3/3/2000
4.964046027,64,5-Mar,GAK1 50 to 115 m,Adjacent,3/4/2000
4.939536579,65,6-Mar,GAK1 50 to 115 m,Adjacent,3/5/2000
4.926000969,66,7-Mar,GAK1 50 to 115 m,Adjacent,3/6/2000
4.917673086,67,8-Mar,GAK1 50 to 115 m,Adjacent,3/7/2000
4.906789486,68,9-Mar,GAK1 50 to 115 m,Adjacent,3/8/2000
