avg.22.temp,doy,month.day,depth,HW,dummy_date
6.629981376,1,1-Jan,GAK1 50 to 115 m,After,1/1/2000
6.591097617,2,2-Jan,GAK1 50 to 115 m,After,1/2/2000
6.540484691,3,3-Jan,GAK1 50 to 115 m,After,1/3/2000
6.495772727,4,4-Jan,GAK1 50 to 115 m,After,1/4/2000
6.452758365,5,5-Jan,GAK1 50 to 115 m,After,1/5/2000
6.412780777,6,6-Jan,GAK1 50 to 115 m,After,1/6/2000
6.378843671,7,7-Jan,GAK1 50 to 115 m,After,1/7/2000
6.331114189,8,8-Jan,GAK1 50 to 115 m,After,1/8/2000
6.275656013,9,9-Jan,GAK1 50 to 115 m,After,1/9/2000
6.211575758,10,10-Jan,GAK1 50 to 115 m,After,1/10/2000
6.152574021,11,11-Jan,GAK1 50 to 115 m,After,1/11/2000
6.104278015,12,12-Jan,GAK1 50 to 115 m,After,1/12/2000
6.057676847,13,13-Jan,GAK1 50 to 115 m,After,1/13/2000
6.009597538,14,14-Jan,GAK1 50 to 115 m,After,1/14/2000
5.979688131,15,15-Jan,GAK1 50 to 115 m,After,1/15/2000
5.953334754,16,16-Jan,GAK1 50 to 115 m,After,1/16/2000
5.937413747,17,17-Jan,GAK1 50 to 115 m,After,1/17/2000
5.912536695,18,18-Jan,GAK1 50 to 115 m,After,1/18/2000
5.881635496,19,19-Jan,GAK1 50 to 115 m,After,1/19/2000
5.836099826,20,20-Jan,GAK1 50 to 115 m,After,1/20/2000
5.796465593,21,21-Jan,GAK1 50 to 115 m,After,1/21/2000
5.757943971,22,22-Jan,GAK1 50 to 115 m,After,1/22/2000
5.719530461,23,23-Jan,GAK1 50 to 115 m,After,1/23/2000
5.673128157,24,24-Jan,GAK1 50 to 115 m,After,1/24/2000
5.645491951,25,25-Jan,GAK1 50 to 115 m,After,1/25/2000
5.61597167,26,26-Jan,GAK1 50 to 115 m,After,1/26/2000
5.585212279,27,27-Jan,GAK1 50 to 115 m,After,1/27/2000
5.550057449,28,28-Jan,GAK1 50 to 115 m,After,1/28/2000
5.525890704,29,29-Jan,GAK1 50 to 115 m,After,1/29/2000
5.504894492,30,30-Jan,GAK1 50 to 115 m,After,1/30/2000
5.488760417,31,31-Jan,GAK1 50 to 115 m,After,1/31/2000
5.467030382,32,1-Feb,GAK1 50 to 115 m,After,2/1/2000
5.449735085,33,2-Feb,GAK1 50 to 115 m,After,2/2/2000
5.432186632,34,3-Feb,GAK1 50 to 115 m,After,2/3/2000
5.41777691,35,4-Feb,GAK1 50 to 115 m,After,2/4/2000
5.401344381,36,5-Feb,GAK1 50 to 115 m,After,2/5/2000
5.380935054,37,6-Feb,GAK1 50 to 115 m,After,2/6/2000
5.355390388,38,7-Feb,GAK1 50 to 115 m,After,2/7/2000
5.3308241,39,8-Feb,GAK1 50 to 115 m,After,2/8/2000
5.306698785,40,9-Feb,GAK1 50 to 115 m,After,2/9/2000
5.284776278,41,10-Feb,GAK1 50 to 115 m,After,2/10/2000
5.269772017,42,11-Feb,GAK1 50 to 115 m,After,2/11/2000
5.249274306,43,12-Feb,GAK1 50 to 115 m,After,2/12/2000
5.223581676,44,13-Feb,GAK1 50 to 115 m,After,2/13/2000
5.193085069,45,14-Feb,GAK1 50 to 115 m,After,2/14/2000
5.163190499,46,15-Feb,GAK1 50 to 115 m,After,2/15/2000
5.136903093,47,16-Feb,GAK1 50 to 115 m,After,2/16/2000
5.121101957,48,17-Feb,GAK1 50 to 115 m,After,2/17/2000
