avg.22.temp,doy,month.day,depth,HW,dummy_date
6.175191682,1,1-Jan,GAK1 50 to 115 m,Before,1/1/2000
6.108626144,2,2-Jan,GAK1 50 to 115 m,Before,1/2/2000
6.044730429,3,3-Jan,GAK1 50 to 115 m,Before,1/3/2000
5.985932568,4,4-Jan,GAK1 50 to 115 m,Before,1/4/2000
5.920920731,5,5-Jan,GAK1 50 to 115 m,Before,1/5/2000
5.856900568,6,6-Jan,GAK1 50 to 115 m,Before,1/6/2000
5.793440893,7,7-Jan,GAK1 50 to 115 m,Before,1/7/2000
5.72834304,8,8-Jan,GAK1 50 to 115 m,Before,1/8/2000
5.665253512,9,9-Jan,GAK1 50 to 115 m,Before,1/9/2000
5.602968119,10,10-Jan,GAK1 50 to 115 m,Before,1/10/2000
5.545649266,11,11-Jan,GAK1 50 to 115 m,Before,1/11/2000
5.493638021,12,12-Jan,GAK1 50 to 115 m,Before,1/12/2000
5.448973169,13,13-Jan,GAK1 50 to 115 m,Before,1/13/2000
5.404246883,14,14-Jan,GAK1 50 to 115 m,Before,1/14/2000
5.365109414,15,15-Jan,GAK1 50 to 115 m,Before,1/15/2000
5.322430477,16,16-Jan,GAK1 50 to 115 m,Before,1/16/2000
5.282279948,17,17-Jan,GAK1 50 to 115 m,Before,1/17/2000
5.243676215,18,18-Jan,GAK1 50 to 115 m,Before,1/18/2000
5.203045218,19,19-Jan,GAK1 50 to 115 m,Before,1/19/2000
5.16463956,20,20-Jan,GAK1 50 to 115 m,Before,1/20/2000
5.130348327,21,21-Jan,GAK1 50 to 115 m,Before,1/21/2000
5.094002525,22,22-Jan,GAK1 50 to 115 m,Before,1/22/2000
5.050603812,23,23-Jan,GAK1 50 to 115 m,Before,1/23/2000
5.013841817,24,24-Jan,GAK1 50 to 115 m,Before,1/24/2000
4.976949337,25,25-Jan,GAK1 50 to 115 m,Before,1/25/2000
4.946010101,26,26-Jan,GAK1 50 to 115 m,Before,1/26/2000
4.91181688,27,27-Jan,GAK1 50 to 115 m,Before,1/27/2000
4.886322601,28,28-Jan,GAK1 50 to 115 m,Before,1/28/2000
4.857434659,29,29-Jan,GAK1 50 to 115 m,Before,1/29/2000
4.831826271,30,30-Jan,GAK1 50 to 115 m,Before,1/30/2000
4.809804964,31,31-Jan,GAK1 50 to 115 m,Before,1/31/2000
8.61540842,335,1-Dec,GAK1 50 to 115 m,Before,11/30/2000
8.553077375,336,2-Dec,GAK1 50 to 115 m,Before,12/1/2000
8.494503946,337,3-Dec,GAK1 50 to 115 m,Before,12/2/2000
8.434292614,338,4-Dec,GAK1 50 to 115 m,Before,12/3/2000
8.372286498,339,5-Dec,GAK1 50 to 115 m,Before,12/4/2000
8.313174124,340,6-Dec,GAK1 50 to 115 m,Before,12/5/2000
8.253153172,341,7-Dec,GAK1 50 to 115 m,Before,12/6/2000
8.193652462,342,8-Dec,GAK1 50 to 115 m,Before,12/7/2000
8.135724747,343,9-Dec,GAK1 50 to 115 m,Before,12/8/2000
8.077345092,344,10-Dec,GAK1 50 to 115 m,Before,12/9/2000
8.023040167,345,11-Dec,GAK1 50 to 115 m,Before,12/10/2000
7.962073509,346,12-Dec,GAK1 50 to 115 m,Before,12/11/2000
