avg.22.temp,doy,month.day,depth,HW,dummy_date
7.89838334,1,1-Jan,GAK1 50 to 115 m,During,1/1/2000
7.867569538,2,2-Jan,GAK1 50 to 115 m,During,1/2/2000
7.836403404,3,3-Jan,GAK1 50 to 115 m,During,1/3/2000
7.815052966,4,4-Jan,GAK1 50 to 115 m,During,1/4/2000
7.787523136,5,5-Jan,GAK1 50 to 115 m,During,1/5/2000
7.75430131,6,6-Jan,GAK1 50 to 115 m,During,1/6/2000
7.723988779,7,7-Jan,GAK1 50 to 115 m,During,1/7/2000
7.688354735,8,8-Jan,GAK1 50 to 115 m,During,1/8/2000
7.649168285,9,9-Jan,GAK1 50 to 115 m,During,1/9/2000
7.619056581,10,10-Jan,GAK1 50 to 115 m,During,1/10/2000
7.582179924,11,11-Jan,GAK1 50 to 115 m,During,1/11/2000
7.54320008,12,12-Jan,GAK1 50 to 115 m,During,1/12/2000
7.510842278,13,13-Jan,GAK1 50 to 115 m,During,1/13/2000
7.478228907,14,14-Jan,GAK1 50 to 115 m,During,1/14/2000
7.441253878,15,15-Jan,GAK1 50 to 115 m,During,1/15/2000
7.414848122,16,16-Jan,GAK1 50 to 115 m,During,1/16/2000
7.377203058,17,17-Jan,GAK1 50 to 115 m,During,1/17/2000
7.340109959,18,18-Jan,GAK1 50 to 115 m,During,1/18/2000
7.314232059,19,19-Jan,GAK1 50 to 115 m,During,1/19/2000
7.284252833,20,20-Jan,GAK1 50 to 115 m,During,1/20/2000
7.259510586,21,21-Jan,GAK1 50 to 115 m,During,1/21/2000
7.232865227,22,22-Jan,GAK1 50 to 115 m,During,1/22/2000
7.20745217,23,23-Jan,GAK1 50 to 115 m,During,1/23/2000
7.18399431,24,24-Jan,GAK1 50 to 115 m,During,1/24/2000
7.148988688,25,25-Jan,GAK1 50 to 115 m,During,1/25/2000
7.10149218,26,26-Jan,GAK1 50 to 115 m,During,1/26/2000
7.053989812,27,27-Jan,GAK1 50 to 115 m,During,1/27/2000
7.011702052,28,28-Jan,GAK1 50 to 115 m,During,1/28/2000
6.969781775,29,29-Jan,GAK1 50 to 115 m,During,1/29/2000
6.93584244,30,30-Jan,GAK1 50 to 115 m,During,1/30/2000
6.899913049,31,31-Jan,GAK1 50 to 115 m,During,1/31/2000
8.860137772,335,1-Dec,GAK1 50 to 115 m,During,11/30/2000
8.808974834,336,2-Dec,GAK1 50 to 115 m,During,12/1/2000
8.756752001,337,3-Dec,GAK1 50 to 115 m,During,12/2/2000
8.69776005,338,4-Dec,GAK1 50 to 115 m,During,12/3/2000
8.634873154,339,5-Dec,GAK1 50 to 115 m,During,12/4/2000
8.580516146,340,6-Dec,GAK1 50 to 115 m,During,12/5/2000
8.530896414,341,7-Dec,GAK1 50 to 115 m,During,12/6/2000
8.473330375,342,8-Dec,GAK1 50 to 115 m,During,12/7/2000
8.411943132,343,9-Dec,GAK1 50 to 115 m,During,12/8/2000
8.345209676,344,10-Dec,GAK1 50 to 115 m,During,12/9/2000
8.276346709,345,11-Dec,GAK1 50 to 115 m,During,12/10/2000
8.216759943,346,12-Dec,GAK1 50 to 115 m,During,12/11/2000
8.15833215,347,13-Dec,GAK1 50 to 115 m,During,12/12/2000
8.10826296,348,14-Dec,GAK1 50 to 115 m,During,12/13/2000
8.056823243,349,15-Dec,GAK1 50 to 115 m,During,12/14/2000
8.008332523,350,16-Dec,GAK1 50 to 115 m,During,12/15/2000
7.97525968,351,17-Dec,GAK1 50 to 115 m,During,12/16/2000
7.942290241,352,18-Dec,GAK1 50 to 115 m,During,12/17/2000
7.904093745,353,19-Dec,GAK1 50 to 115 m,During,12/18/2000
7.863926545,354,20-Dec,GAK1 50 to 115 m,During,12/19/2000
7.828893816,355,21-Dec,GAK1 50 to 115 m,During,12/20/2000
7.795299947,356,22-Dec,GAK1 50 to 115 m,During,12/21/2000
7.761301013,357,23-Dec,GAK1 50 to 115 m,During,12/22/2000
7.71950254,358,24-Dec,GAK1 50 to 115 m,During,12/23/2000
7.68137026,359,25-Dec,GAK1 50 to 115 m,During,12/24/2000
7.650730227,360,26-Dec,GAK1 50 to 115 m,During,12/25/2000
7.614246976,361,27-Dec,GAK1 50 to 115 m,During,12/26/2000
7.565749048,362,28-Dec,GAK1 50 to 115 m,During,12/27/2000
7.51293708,363,29-Dec,GAK1 50 to 115 m,During,12/28/2000
7.468285802,364,30-Dec,GAK1 50 to 115 m,During,12/29/2000
7.428856765,365,31-Dec,GAK1 50 to 115 m,During,12/30/2000
6.858386711,32,1-Feb,GAK1 50 to 115 m,During,2/1/2000
6.828460989,33,2-Feb,GAK1 50 to 115 m,During,2/2/2000
6.7977921,34,3-Feb,GAK1 50 to 115 m,During,2/3/2000
6.758783011,35,4-Feb,GAK1 50 to 115 m,During,2/4/2000
6.716019783,36,5-Feb,GAK1 50 to 115 m,During,2/5/2000
6.682737118,37,6-Feb,GAK1 50 to 115 m,During,2/6/2000
6.650064986,38,7-Feb,GAK1 50 to 115 m,During,2/7/2000
6.623695135,39,8-Feb,GAK1 50 to 115 m,During,2/8/2000
6.598351089,40,9-Feb,GAK1 50 to 115 m,During,2/9/2000
6.567985973,41,10-Feb,GAK1 50 to 115 m,During,2/10/2000
6.538409515,42,11-Feb,GAK1 50 to 115 m,During,2/11/2000
6.505704684,43,12-Feb,GAK1 50 to 115 m,During,2/12/2000
6.460345221,44,13-Feb,GAK1 50 to 115 m,During,2/13/2000
6.421002951,45,14-Feb,GAK1 50 to 115 m,During,2/14/2000
6.382300359,46,15-Feb,GAK1 50 to 115 m,During,2/15/2000
6.348702702,47,16-Feb,GAK1 50 to 115 m,During,2/16/2000
6.319655058,48,17-Feb,GAK1 50 to 115 m,During,2/17/2000
6.296406123,49,18-Feb,GAK1 50 to 115 m,During,2/18/2000
6.269007153,50,19-Feb,GAK1 50 to 115 m,During,2/19/2000
6.245446133,51,20-Feb,GAK1 50 to 115 m,During,2/20/2000
6.214669618,52,21-Feb,GAK1 50 to 115 m,During,2/21/2000
6.184440688,53,22-Feb,GAK1 50 to 115 m,During,2/22/2000
6.153137362,54,23-Feb,GAK1 50 to 115 m,During,2/23/2000
6.119169381,55,24-Feb,GAK1 50 to 115 m,During,2/24/2000
6.087613687,56,25-Feb,GAK1 50 to 115 m,During,2/25/2000
6.063610432,57,26-Feb,GAK1 50 to 115 m,During,2/26/2000
6.047479869,58,27-Feb,GAK1 50 to 115 m,During,2/27/2000
6.032989204,59,28-Feb,GAK1 50 to 115 m,During,2/28/2000
6.011229322,60,1-Mar,GAK1 50 to 115 m,During,2/29/2000
5.991913173,61,2-Mar,GAK1 50 to 115 m,During,3/1/2000
5.973963823,62,3-Mar,GAK1 50 to 115 m,During,3/2/2000
